Project,Stage,Datetime, Amount ,Valuation,Type project,Dead,WL,Token,Website,Chains,Description,Announcement,Category-Defillama,Main-Cate,Sub-Cate1,Sub-Cate2,Sub-Cate3,Total Sub-Cate
bitbank,Angel Round,8/1/2014,  1.300.000 ,,,,,,,,"Bitcoin wallet, payment processing, bitcoin reward service and news media",,,Service,Wallet,,,Wallet
Scry.info,ICO,11/1/2017,  1.000.000 ,,,,,,,,"Scry.info is the world's first blockchain-based quantitative data providing and exchanging platform for storage, verification.",,Analytics,Infrastructures,Data Service,,,Data Service
Unocoin,Seed,8/11/2014,  250.000 ,,,,,,,,"Unocoin is an Indian bitcoin processor that enables users to buy, sell, store, use, and accept bitcoins.",,Centralized Exchange,CeFi,CEX,,,CEX
Airstack,Seed,5/2/2024,  4.000.000 ,,,,,,,Optimism,Social Finance movement on Farcaster,https://x.com/betashop/status/1786079897288597621,Social Platform,Web3,Social Network,,,Social Network
ChainHoo,Seed,4/18/2018,  3.200.000 ,,,,,,,,Financial news platform focusing on blockchain technology based in Shenzhen.,,Analytics,Infrastructures,Data Service,,,Data Service
Airstack,Seed,5/2/2024,  4.000.000 ,,,,,,,Optimism,Social Finance movement on Farcaster,https://x.com/betashop/status/1786079897288597621,Social Platform,Web3,Social Network,,,Social Network
Agora,Seed,5/1/2024,  5.000.000 ,,,,,,,,cross-chain governance platform ,https://x.com/TheBlock__/status/1785681019267338440,DAO infrastructure,Web3,DAO,Cross-chain,,DAO;Cross-chain
Storj,ICO,8/22/2014,  462.000 ,,,,,,,,Decentralized storage,https://www.coindesk.com/markets/2014/08/22/cloud-storage-startup-storj-raises-910-btc-in-crowdsale/,Storage,Infrastructures,Storage,Data Service,,Storage;Data Service
Korbit,Series A,8/25/2014,  3.000.000 ,,,,,,,,"Korbit provides online bitcoin exchange, wallet, and merchant processor services.",,Centralized Exchange,CeFi,CEX,,,CEX
Transmute,Pre-Seed,4/22/2018,  1.170.000 ,,,,,,,,The trusted data exchange platform for global trade,,Analytics,Infrastructures,Data Service,,,Data Service
Baxus,Seed,5/1/2024,  5.000.000 ,,,,,,,Solana,onchain marketplace for wine and spirits,https://x.com/BAXUSco/status/1785653285937934586,decentralized protocol for perpetual options,Web3,dApp,Payment,Real-World Assets,dApp;Payment;Real-World Assets
Only1,Strategic ,4/22/2024,  1.300.000 ,,,,,,,Solana,OnlyFans on Solana,https://twitter.com/joinonly1/status/1781942452733231465 ,Social Platform,Web3,Social Network,,,Social Network
Zebpay,Seed,9/14/2014,  125.000 ,,,,,,,,Global Cryptocurrency Exchange and Wallet,,Centralized Exchange,CeFi,CEX,,,CEX
Blocknative,,6/28/2018,  2.000.000 ,,,,,,,,Blocknative is a provider of real-time blockchain transaction management and monitoring solutions for public blockchain networks.,,Analytics,Infrastructures,Data Service,,,Data Service
Tomo,Seed,4/10/2024,  3.500.000 ,,,,,,,,Web3 social app,https://x.com/TheBlock__/status/1778091866719650298,Social Platform,Web3,Social Network,dApp,,Social Network;dApp
Digital Asset Data,Seed,4/30/2019,  6.000.000 ,,,,,,,,institutional-focused crypto data platform,https://www.theblock.co/post/21317/digital-assets-data-raises-6-million-to-be-the-bloomberg-and-github-of-cryptocurrency-data,Analytics,Infrastructures,Data Service,,,Data Service
Digital Assets Data,,7/25/2019,  3.500.000 ,,,,,,,,institutional-focused crypto data platform,https://www.theblock.co/post/33392/with-3-2-million-in-new-funding-digital-assets-data-looks-to-expand-its-institutional-platform,Analytics,Infrastructures,Data Service,,,Data Service
Dapp.com,Seed,9/5/2019,  1.000.000 ,,,,,,,,"Dapp.com is the cross-chain platform for everyone to discover, use, and enjoy dapps with ease. Explore 3,000+ dapps built on Ethereum, EOS, Tron, Klaytn, NEO, Steem, IOST, TomoChain, and more.",,Analytics,Infrastructures,Data Service,,,Data Service
Blockchain.com,Series A,10/7/2014,  30.000.000 ,,,,,,,,"Blockchain.com is a platform that offers ways to buy, hold, and use cryptocurrency.",,Centralized Exchange,CeFi,CEX,,,CEX
Dune Analytics,Seed,9/23/2020,  2.000.000 ,,,,,,,,Dune Analytics is an Ethereum-centric analytics platform that makes on-chain crypto data accessible and consumable.,,Analytics,Infrastructures,Data Service,,,Data Service
Nansen,Seed,10/27/2020,  1.200.000 ,,,,,,,,Nansen is a blockchain analytics platform for crypto professionals and investors.,,Analytics,Infrastructures,Data Service,,,Data Service
Parsec Finance,Seed,1/29/2021,  1.200.000 ,,,,,,,,crypto on-chain analytics platform,,Analytics,Infrastructures,Data Service,,,Data Service
SubQuery,Seed,3/12/2021,  1.800.000 ,,,,,,,,SubQuery is a platform that makes decentralised data more accessible.,,Analytics,Infrastructures,Data Service,,,Data Service
Nansen,Series A,6/29/2021,  12.000.000 ,,,,,,,,Nansen is a blockchain analytics platform for crypto professionals and investors.,,Analytics,Infrastructures,Data Service,,,Data Service
Dune Analytics,Series A,8/12/2021,  8.000.000 ,,,,,,,,Dune Analytics is an Ethereum-centric analytics platform that makes on-chain crypto data accessible and consumable.,,Analytics,Infrastructures,Data Service,,,Data Service
Coinsetter,,10/16/2014,  1.267.000 ,,,,,,,,Coinsetter operates a Bitcoin trading platform with tools for forex traders.,,Trading,CeFi,CEX,,,CEX
VicTree,Pre-Seed,9/1/2021,  1.100.000 ,,,,,,,,Analytics platform enabling web3 gamers to consistently make more educated decisions with their assets and portfolio,,Analytics,Infrastructures,Data Service,,,Data Service
SubQuery,Series A,9/8/2021,  9.000.000 ,,,,,,,,SubQuery is a platform that makes decentralised data more accessible.,,Analytics,Infrastructures,Data Service,,,Data Service
Tomo,Seed,4/10/2024,  3.500.000 ,,,,,,,,Web3 social app,https://x.com/TheBlock__/status/1778091866719650298,Social Platform,Web3,Social Network,dApp,,Social Network;dApp
MadFi,Seed,4/5/2024,  1.000.000 ,,,,,,,"Polygon,Base",the monetization and rewards layer for crypto social,https://x.com/madfiprotocol/status/1776259048691626307,Social Platform,Web3,Social Network,X-to-Earn,,Social Network;X-to-Earn
Rogo,Pre-Seed,10/6/2021,  2.000.000 ,,,,,,,,"Rogo is a data aggregator and analytics platform that lets users explore, analyze, and visualize data using plain English.",,Analytics,Infrastructures,Data Service,,,Data Service
Scorechain,Seed,10/20/2021,  2.330.000 ,,,,,,,,Scorechain provides business intelligence and big data for the blockchain technologies.,,Analytics,Infrastructures,Data Service,,,Data Service
Elementus,Series A,10/28/2021,  12.000.000 ,,,,,,,,Elementus offers a analytics platform that brings cognition to the blockchain's native transparency.,,Analytics,Infrastructures,Data Service,,,Data Service
Solidus Labs,,11/5/2021,  15.000.000 ,,,,,,,,Solidus Labs is a crypto-tracking company that provides tailored compliance and risk monitoring solutions for digital assets.,,Analytics,Infrastructures,Data Service,,,Data Service
Stacks,Seed,11/16/2014,  1.330.000 ,,,,,,,Stacks,"Stacks is an app development company which builds bitcoin app, smart contracts, and digital assets.",,L1,Infrastructures,Layer-1,,,Layer-1
Tractiv,Seed,12/13/2021,  2.250.000 ,,,,,,,,Providing usage transparency in the market data industry.,,Analytics,Infrastructures,Data Service,,,Data Service
Legitimate,Seed,4/3/2024,  4.300.000 ,,,,,,,"Avalanche,Ethereum,Polygon",Connect physical products to customizable digital experiences powered by NFTs and Web3,https://x.com/LegitimateTech/status/1775445475673686425,Web3,Web3,NFT,Identity,,NFT;Identity
Gatecoin,Angel Round,12/1/2014,  500.000 ,,,,,,,,Gatecoin is a bitcoin and ethereum token exchange.,,Centralized Exchange,CeFi,CEX,,,CEX
Bity,Series A,12/1/2014,  1.243.000 ,,,,,,,,Bity is a Swiss-based crypto finance provider that simplifies the conversion from traditional money into cryptocurrencies & digital assets.,,CeFi,CeFi,CEX,,,CEX
ChangeCoin,Seed,12/2/2014,  3.500.000 ,,,,,,,,"ChangeCoin specializes in the fields of micropayments, bitcoin, social commerce, digital currencies, and payments.",,Payments,Service,,,,
DigiByte,Seed,12/2/2014,  250.000 ,,,,,,,,"DigiByte is a rapidly growing world-wide decentralized payment network, inspired by Bitcoin.",,L1,Infrastructures,Layer-1,,,Layer-1
Nansen,Series B,12/16/2021,  75.000.000 ,,,,,,,,Nansen is a blockchain analytics platform for crypto professionals and investors.,,Analytics,Infrastructures,Data Service,,,Data Service
Liquid Global,Series A,12/10/2014,  2.000.000 ,,,,,,,,Liquid Global is a developer of a cryptocurrency trading platform designed to provide liquidity to the crypto economy.,,Trading,DeFi,,,,
Ddmg.com,Angel Round,12/21/2014,  4.835.000 ,,,,,,,,Ddmg.com is a developer of a blockchain B2B platform for steel trading transactions.,,Trading,CeFi,CEX,,,CEX
Dexter_Cap,ICO,3/20/2024,  30.678.144 ,,,,,,,Solana,Solana Memecoin Presale,https://twitter.com/zachxbt/status/1770138079044485357,Meme,Web3,Meme,,,Meme
Dune Analytics,Series B,2/2/2022,  69.420.000 ,1000000000,,,,,,,Data analytics,https://twitter.com/DuneAnalytics/status/1488875118835163139?s=20&t=12q7ikR7EtGIkjhoO2K2gA,Analytics,Infrastructures,Data Service,,,Data Service
Pepecasso1,ICO,3/20/2024,  5.714.112 ,,,,,,,Solana,Solana Memecoin Presale,https://twitter.com/zachxbt/status/1770138079044485357,Meme,Web3,Meme,,,Meme
OpenBB,Seed,3/30/2022,  8.800.000 ,,,,,,,,Investment research platform,https://venturebeat.com/data-infrastructure/openbb-wants-to-be-an-open-source-challenger-to-bloomberg-terminal/,Analytics,Infrastructures,Data Service,,,Data Service
HODL Media,Pre-Seed,1/1/2015,  150.000 ,,,,,,,,"HODL Media is the publisher of the popular HODL app, a real-time crypto & stock market tracker.",,Analytics,Service,,,,
TemplePharmacy_,ICO,3/20/2024,  4.691.904 ,,,,,,,Solana,$TEMPLE - Solana Memecoin Presale,https://twitter.com/zachxbt/status/1770138079044485357,Meme,Web3,Meme,,,Meme
0zempicSol,ICO,3/20/2024,  960.000 ,,,,,,,Solana,Solana Memecoin Presale,https://twitter.com/zachxbt/status/1770138079044485357,Meme,Web3,Meme,,,Meme
Colendi,Seed,8/29/2018,  2.500.000 ,,,,,,,,"A multifunctional banking as a service platform that democratizes banking services for consumers, merchants, and financial institutions",,Banking,Service,Banking,Tooling,,Banking;Tooling
Cat_Intel_Token,ICO,3/20/2024,  916.224 ,,,,,,,Solana,Solana Memecoin Presale,https://twitter.com/zachxbt/status/1770138079044485357,Meme,Web3,Meme,,,Meme
Jared_eth,ICO,3/20/2024,  876.864 ,,,,,,,Solana,$MEV - Solana Memecoin Presale,https://twitter.com/zachxbt/status/1770138079044485357,Meme,Web3,Meme,,,Meme
akaChain,Seed,1/1/2019,  3.000.000 ,,,,,,,,Enterprise Blockchain,,Blockchain-as-a-Service,Infrastructures,Tooling,,,Tooling
FabledAdventure,ICO,3/20/2024,  680.064 ,,,,,,,Solana,$FAP - Solana Memecoin Presale,https://twitter.com/zachxbt/status/1770138079044485357,Meme,Web3,Meme,,,Meme
Coinbase,Series C,1/13/2015,  75.000.000 ,,,,,,,,"Coinbase is an online platform that allows merchants, consumers, and traders to transact with digital currency.",,Centralized Exchange,CeFi,CEX,,,CEX
Lambda256,Series B,12/16/2021,  60.000.000 ,300000000,,,,,,,Blockchain Firm,https://www.coindesk.com/business/2021/12/16/s-korean-lambda265-nabs-60m-series-b-at-300m-valuation/,Blockchain-as-a-Service,Infrastructures,Tooling,,,Tooling
BitFlyer,Series B,1/28/2015,  1.105.000 ,,,,,,,,"BitFlyer is a bitcoin exchange and marketplace that enables its customers to buy, sell, and spend bitcoins.",,Centralized Exchange,CeFi,CEX,,,CEX
BlueKirbyFTM,ICO,3/20/2024,  643.392 ,,,,,,,Solana,Solana Memecoin Presale,https://twitter.com/zachxbt/status/1770138079044485357,Meme,Web3,Meme,,,Meme
ZorpOnSol,ICO,3/20/2024,  384.000 ,,,,,,,Solana,$ZORP - Solana Memecoin Presale,https://twitter.com/zachxbt/status/1770138079044485357,Meme,Web3,Meme,,,Meme
HashRabbit,Seed,2/4/2015,  500.000 ,,,,,,,,Mining Infrastructure Made Easy,,Mining,Service,,,,
Limit Break,,8/29/2022,  200.000.000 ,,,No,No,No,ít tương tác ,Ethereum,Gaming,https://www.prnewswire.com/news-releases/limit-break-raises-200-million-dollars-301614025.html,Gaming,GameFi,Gaming,,,Gaming
Immutable Systems,Seed,7/9/2018,  2.400.000 ,,,,,,,,Immutable Systems delivers a radically new approach to cloud security.,https://www.smartcompany.com.au/startupsmart/news/having-raised-2-4-million-in-seed-funding-the-sibling-co-founders-of-fuel-games-are-out-to-change-the-face-of-esports/,Cloud Security,Infrastructures,Gaming,Cloud Services,,Gaming;Cloud Services
CipherTrace,,2/13/2018,  15.000.000 ,,,,,,,,CipherTrace is a cryptocurrency intelligence company that delivers delivers cryptocurrency AML compliance solutions.,,Crypto Intelligence,Infrastructures,AI,,,AI
miladymemecoin,ICO,3/19/2024,  17.615.232 ,,,,,,,Solana,$MiladyWifHat - Solana Memecoin Presale,https://twitter.com/zachxbt/status/1770138079044485357,Meme,Web3,Meme,,,Meme
Abra,Series A,3/5/2015,  2.000.000 ,,,,,,,,"Abra is a digital wallet that makes it easy to access, manage, and earn interest on cryptocurrencies.",,CeFi,CeFi,CEX,,,CEX
TrippyLabs,ICO,3/19/2024,  3.920.640 ,,,,,,,Solana,$SHROOM - Solana Memecoin Presale,https://twitter.com/zachxbt/status/1770138079044485357,Meme,Web3,Meme,,,Meme
ShapeShift,Seed,3/10/2015,  790.000 ,,,,,,,,"ShapeShift is a crypto platform, enabling customers to buy, sell, trade, track, send, receive, and interact with their digital assets.",,Centralized Exchange,CeFi,CEX,,,CEX
Satoshis_Mom,ICO,3/19/2024,  3.505.344 ,,,,,,,Solana,$NOS - Solana Memecoin Presale,https://twitter.com/zachxbt/status/1770138079044485357,Meme,Web3,Meme,,,Meme
GainBit,Seed,3/15/2015,  750.000 ,,,,,,,,GainBit is based in Luxembourg and operates as an investment firm that pools money from investors to invest in bitcoin mining industry.,,,CeFi,,Asset Management,Bitcoin,Asset Management;Bitcoin
Doodoocoin,ICO,3/18/2024,  2.284.032 ,,,,,,,Solana,Solana Memecoin Presale,https://twitter.com/zachxbt/status/1770138079044485357,Meme,Web3,Meme,,,Meme
CipherTrace,Series A,2/19/2019,  15.000.000 ,,,,,,,,Blockchain security firm,https://venturebeat.com/business/ciphertrace-raises-15m-venture-capital-investment-for-cryptocurrency-and-blockchain-security-intelligence-and-regulatory-compliance/,Crypto Intelligence,Infrastructures,Security,,,Security
Trustology,Seed,12/6/2018,  8.000.000 ,,,,,,,,Trustology is building a custody platform to safeguard your crypto assets.,,Custody,CeFi,Custody,Asset Management,,Custody;Asset Management
PeerNova,Series A,4/1/2015,  5.000.000 ,,,,,,,,PeerNov's mission is to empower firms to make confident and timely decisions using high-quality data.,,Analytics,Service,,,,
Sartoshi0x,ICO,3/18/2024,  1.600.000 ,,,,,,,Solana,$MILK - Solana Memecoin Presale,https://twitter.com/zachxbt/status/1770138079044485357,Meme,Web3,Meme,,,Meme
OB1,Seed,4/24/2015,  1.000.000 ,,,,,,,,OB1 is a developer of a peer-to-peer trading platform used to offer a cryptocurrency marketplace.,,Trading,CeFi,CEX,,,CEX
BTCBOX,Series A,4/27/2015,  1.679.000 ,,,,,,,,BTCBOX is an application that offers cryptocurrency exchange services.,,,CeFi,CEX,,,CEX
Veem,Seed,4/29/2015,  1.500.000 ,,,,,,,,Veem is a payment service provider that helps simplify the way businesses send and receive funds.,,Payments,Service,,,,
Circle,Series C,4/30/2015,  50.000.000 ,,,,,,,,Circle is a global internet finance company built on blockchain technology and powered by crypto assets.,,CeFi,CeFi,CEX,,,CEX
WisdomMatic,ICO,3/18/2024,  949.632 ,,,,,,,Solana,Solana Memecoin Presale,https://twitter.com/zachxbt/status/1770138079044485357,Meme,Web3,Meme,,,Meme
Safello,Equity Crowdsale,5/2/2015,  700.000 ,,,,,,,,Safello operates a bitcoin exchange and related services in the European market.,,Centralized Exchange,CeFi,CEX,,,CEX
0xhoneyjar,ICO,3/18/2024,  196.992 ,,,,,,,Solana,$OOGABOOGA - Solana Memecoin Presale,https://twitter.com/zachxbt/status/1770138079044485357,Meme,Web3,Meme,,,Meme
Paxos,Series A,5/8/2015,  28.227.000 ,,,,,,,,Paxos is a regulated financial institution building infrastructure to enable movement between physical and digital assets.,,CeFi,CeFi,,Stablecoins,,Stablecoins
Valid Network - Blockchain Security,Pre-Seed,10/16/2018,  2.000.000 ,,,,,,,,"Valid Network is an Israeli Blockchain cybersecurity and intelligence startup, with a mission to deriskify Blockchain.",,Cybersecurity,Infrastructures,Security,,,Security
SpiderOak,Series A,5/14/2015,  3.500.000 ,,,,,,,,SpiderOak is a collaboration tool that develops a technology that eliminates entire categories of cyberattacks.,,Cybersecurity,Service,Security,Security,,Security;Security
Ripple,Series A,5/19/2015,  28.000.000 ,,,,,,,Ripple,Ripple provides one frictionless experience to send money globally using the power of blockchain.,,L1,Infrastructures,Layer-1,,,Layer-1
Gabrielesm1,ICO,3/18/2024,  195.800 ,,,,,,,Solana,Solana Memecoin Presale,https://twitter.com/zachxbt/status/1770138079044485357,Meme,Web3,Meme,,,Meme
0xDecadente,ICO,3/17/2024,  32.636.544 ,,,,,,,Solana,$SMOLE - Solana Memecoin Presale,https://twitter.com/zachxbt/status/1770138079044485357,Meme,Web3,Meme,,,Meme
Immutable Systems,Series A,9/23/2019,  15.000.000 ,,,,,,,,Immutable Systems delivers a radically new approach to cloud security.,https://www.businesswire.com/news/home/20190923005249/en/Immutable-Raises-15-Million-in-Series-A-Funding-from-Naspers-Ventures-and-Galaxy-Digital-EOS-VC-Fund,Cybersecurity,Infrastructures,Security,,,Security
GainBit,Seed,6/24/2015,  1.200.000 ,,,,,,,,GainBit is based in Luxembourg and operates as an investment firm that pools money from investors to invest in bitcoin mining industry.,,Mining,Infrastructures,,Asset Management,Bitcoin,Asset Management;Bitcoin
Slerfsol,ICO,3/17/2024,  10.479.936 ,,,,,,,Solana,$Slerf - Solana Memecoin Presale,https://twitter.com/zachxbt/status/1770138079044485357,Meme,Web3,Meme,,,Meme
Shyft,Series A,1/22/2020,  15.000.000 ,,,,,,,,Shyft's blockchain-based network is building unbreachable data protection for industry.,,Cybersecurity,Infrastructures,Security,,,Security
Pokeepandaa,ICO,3/17/2024,  10.026.240 ,,,,,,,Solana,$LIKE - Solana Memecoin Presale,https://twitter.com/zachxbt/status/1770138079044485357,Meme,Web3,Meme,,,Meme
HUB Security,Series A,5/7/2020,  5.000.000 ,,,,,,,,HUB Security is redefining cyber security with quantum driven confidential computing,,Cybersecurity,Infrastructures,Security,,,Security
Valid Network  Blockchain Security,Seed,7/14/2020,  6.000.000 ,,,,,,,,"Valid Network is an Israeli Blockchain cybersecurity and intelligence startup, with a mission to deriskify Blockchain.",,Cybersecurity,Infrastructures,Security,,,Security
Korbit,Series A,7/25/2015,  3.000.000 ,,,,,,,,"Korbit provides online bitcoin exchange, wallet, and merchant processor services.",,,CeFi,CEX,,,CEX
CloudCover,Series B,1/1/2021,  5.200.000 ,,,,,,,,AI/ML NDR/SOAR cybersecurity network-centric platform.,,Cybersecurity,Infrastructures,Security,,,Security
LedgerX,,8/5/2015,  1.000.000 ,,,,,,,,"LedgerX, LLC develops an institutional derivatives exchange platform for digital currencies.",,Trading,CeFi,CEX,,,CEX
Redlion,ICO,3/17/2024,  972.480 ,,,,,,,Solana,$RED - Solana Memecoin Presale,https://twitter.com/zachxbt/status/1770138079044485357,Meme,Web3,Meme,,,Meme
BitFlyer,Series B,8/12/2015,  4.100.000 ,,,,,,,,"BitFlyer is a bitcoin exchange and marketplace that enables its customers to buy, sell, and spend bitcoins.",,Centralized Exchange,CeFi,CEX,,,CEX
HeraSoft,Series A,3/12/2021,  5.000.000 ,,,,,,,,HeraSoft provides a ransomware-proof solution for enterprises that protects cloud systems from cyber attacks.,,Cybersecurity,Infrastructures,Security,,,Security
Coincheck,,8/14/2015,  724.000 ,,,,,,,,Coincheck operates a bitcoin and cryptocurrency exchange.,,Centralized Exchange,CeFi,CEX,,,CEX
NftRamo,ICO,3/17/2024,  176.000 ,,,,,,,Solana,$UWU - Solana Memecoin Presale,https://twitter.com/zachxbt/status/1770138079044485357,Meme,Web3,Meme,,,Meme
Nebeus,Seed,9/1/2015,  2.295.000 ,,,,,,,,"Nebeus is a cryptocurrency and crypto-backed lending platform that allows people to borrow, exchange, earn, and insure their crypto assets.",,CeFi,CeFi,Asset Management,,,Asset Management
HUB Security,Post-IPO Equity,6/3/2021,  50.000.000 ,,,,,,,,HUB Security is redefining cyber security with quantum driven confidential computing,,Cybersecurity,Infrastructures,Security,,,Security
KeroNFTs,ICO,3/16/2024,  10.307.712 ,,,,,,,Solana,$NAP - Solana Memecoin Presale,https://twitter.com/zachxbt/status/1770138079044485357,Meme,Web3,Meme,,,Meme
ShapeShift,Seed,9/8/2015,  1.600.000 ,,,,,,,,"ShapeShift is a crypto platform, enabling customers to buy, sell, trade, track, send, receive, and interact with their digital assets.",,CeFi,CeFi,Asset Management,,,Asset Management
RockyXBT,ICO,3/16/2024,  7.194.240 ,,,,,,,Solana,$MOONKE - Solana Memecoin Presale,https://twitter.com/zachxbt/status/1770138079044485357,Meme,Web3,Meme,,,Meme
Emperor,ICO,3/16/2024,  480.000 ,,,,,,,Solana,$THICK - Solana Memecoin Presale,https://twitter.com/zachxbt/status/1770138079044485357,Meme,Web3,Meme,,,Meme
The DAO,ICO,5/1/2017,  12.700.000 ,150000000,,,,,,,Decentralized Autonomous Org,https://decrypt.co/53950/the-10-biggest-icos-heres-where-the-money-went,DAO infrastructure,Service,DAO,,,DAO
Abra,Series A,9/10/2015,  12.000.000 ,,,,,,,,Savings & Exchange,https://www.coindesk.com/markets/2015/09/10/bitcoin-to-cash-app-abra-raises-12-million-series-a/,CeFi,CeFi,CEX,,,CEX
Aragon,Seed,2/19/2020,  1.000.000 ,,,,,,,,Aragon is a project that aims to disintermediate the creation and maintenance of organizational structures by using blockchain technology.,,DAO infrastructure,Service,DAO,,,DAO
Vombatus_Eth,ICO,3/15/2024,  2.529.792 ,,,,,,,Solana,$SORRY - Solana Memecoin Presale,https://twitter.com/zachxbt/status/1770138079044485357,Meme,Web3,Meme,,,Meme
Crunch DAO,Pre-Seed,12/1/2021,  1.000.000 ,,,,,,,,Crunch DAO leverages the power of collective intelligence of Web 3.0 to create a next-generation market neutral hedge.,,DAO infrastructure,Service,DAO,,,DAO
Augur,ICO,10/1/2015,  5.300.000 ,,,,,,,Ethereum,"Augur is an open-source, decentralized prediction market platform.",,DeFi,DeFi,,,,
Origin Protocol,Private token sale,12/11/2017,  3.000.000 ,,,,,,,Ethereum,peer-to-peer service,https://www.coindesk.com/markets/2017/12/11/pantera-invests-3-million-in-sharing-economy-token-origin/,DeFi,DeFi,Trading,,,Trading
Cardano Foundation,ICO,10/2/2015,  62.236.000 ,,,,,,,Cardano,Cardano Foundation is a blockchain and cryptocurrency organization.,,L1,Infrastructures,Layer-1,,,Layer-1
Vega Protocol,Seed,10/2/2019,  5.000.000 ,,,,,,,Ethereum,Vega Protocol is a technology protocol for fully automated end-to-end financial product trading and execution.,https://www.businesswire.com/news/home/20191002005304/en/Vega-Raises-5-Million-to-Develop-Decentralized-Derivatives-Protocol,DeFi,DeFi,Trading,Copy Trade,,Trading;Copy Trade
Ripple,Series A,10/6/2015,  4.000.000 ,,,,,,,Ripple,Ripple provides one frictionless experience to send money globally using the power of blockchain.,,L1,Infrastructures,Layer-1,,,Layer-1
Cozy Finance,Seed,9/3/2020,  2.000.000 ,,,,,,,Ethereum,"permissionless, peer-to-peer protection from smart contract failure",,DeFi,Infrastructures,Tooling,,,Tooling
Polymarket,Seed,10/19/2020,  4.000.000 ,,,,,,,Polygon,Polymarket is a platform for speculators to wager on the world's most hotly contested topics.,,DeFi,DeFi,Commodities,,,Commodities
Mr_Alevi,ICO,3/15/2024,  267.264 ,,,,,,,Solana,$FORM - Solana Memecoin Presale,https://twitter.com/zachxbt/status/1770138079044485357,Meme,Web3,Meme,,,Meme
API3,Seed,11/12/2020,  3.000.000 ,,,,,,,Ethereum,API3 is a decentralized API (dAPI) network that enables data providers to become their own blockchain â€˜oracles.,,DeFi,Service,Data Service,,,Data Service
BnkToTheFuture,,10/20/2015,  3.000.000 ,,,,,,,,"BnkToTheFuture is an online platform that facilitates investments in FinTech, blockchain, and bitcoin companies.",,CeFi,CeFi,Asset Management,,,Asset Management
Pallet Exchange,Private,3/14/2024,  2.500.000 ,,,,,,,SEI,NFT marketplace ,https://x.com/jacqmelinek/status/1768275152414912561,NFT,Web3,Marketplace,,,Marketplace
